test,date,bucket,rank_ic_12m,mean_next_12m,n
attention_vs_momentum_ic,2012-11-30,3,0.2175824175824176,0.16603460287614605,14
attention_vs_momentum_ic,2013-01-31,1,0.2175824175824176,-0.008503053307696684,14
attention_vs_momentum_ic,2013-01-31,2,-0.1540154947381952,-0.07813561804372902,14
attention_vs_momentum_ic,2013-01-31,3,-0.1384615384615385,-0.014257752462700684,14
attention_vs_momentum_ic,2013-02-28,1,0.14285714285714285,-0.014373235360764205,14
attention_vs_momentum_ic,2013-02-28,2,-0.07692307692307691,-0.15133826443902587,13
attention_vs_momentum_ic,2013-02-28,3,0.16483516483516483,0.01655011034850926,13
attention_vs_momentum_ic,2013-04-30,1,0.03736263736263736,0.05622743166360309,14
attention_vs_momentum_ic,2013-04-30,2,0.1164835164835165,-0.03422544520875877,14
attention_vs_momentum_ic,2013-04-30,3,-0.1252747252747253,0.1519175656946063,14
attention_vs_momentum_ic,2013-05-31,1,0.054945054945054944,0.013590346173351047,14
attention_vs_momentum_ic,2013-05-31,2,0.09890109890109891,-0.07568762749435207,13
attention_vs_momentum_ic,2013-05-31,3,0.2571428571428571,0.12526541197686775,14
attention_vs_momentum_ic,2013-07-31,1,-0.16483516483516483,0.03432635099585204,14
attention_vs_momentum_ic,2013-07-31,2,0.03736263736263736,0.004553204572344816,14
attention_vs_momentum_ic,2013-07-31,3,-0.059340659340659345,0.11256639897953002,14
attention_vs_momentum_ic,2013-09-30,1,-0.15357142857142855,-0.08800823763236607,15
attention_vs_momentum_ic,2013-09-30,2,-0.0964285714285714,-0.05649462070409242,15
attention_vs_momentum_ic,2013-09-30,3,0.16785714285714282,0.1761369079063513,15
attention_vs_momentum_ic,2013-10-31,1,0.3274725274725274,-0.053781113311544906,14
attention_vs_momentum_ic,2013-10-31,2,-0.3758241758241759,-0.10527127095828741,14
attention_vs_momentum_ic,2013-10-31,3,-0.03300332030104183,0.14686233152127995,14
attention_vs_momentum_ic,2014-02-28,1,0.5384615384615385,-0.08129131257028807,14
attention_vs_momentum_ic,2014-02-28,2,0.3516483516483516,0.02310345259644235,13
attention_vs_momentum_ic,2014-02-28,3,0.23956043956043957,0.15374519177811938,14
attention_vs_momentum_ic,2014-03-31,1,0.2928571428571428,-0.08542681116155663,15
attention_vs_momentum_ic,2014-03-31,2,0.2087912087912088,0.043857613467642546,14
attention_vs_momentum_ic,2014-03-31,3,0.4892857142857142,0.12039923403808112,15
attention_vs_momentum_ic,2014-04-30,1,0.035714285714285705,-0.05402504789438708,15
attention_vs_momentum_ic,2014-04-30,2,0.054945054945054944,0.15400547810977624,14
attention_vs_momentum_ic,2014-04-30,3,0.4642857142857142,0.16999846480673905,15
attention_vs_momentum_ic,2014-06-30,1,0.2678571428571428,-0.050898079203269934,15
attention_vs_momentum_ic,2014-06-30,2,0.3362637362637363,-0.022838123449693652,14
attention_vs_momentum_ic,2014-06-30,3,0.39999999999999997,0.07755006915290566,15
attention_vs_momentum_ic,2014-07-31,1,0.5823529411764706,-0.14202735522182985,16
attention_vs_momentum_ic,2014-07-31,2,0.3428571428571428,-0.12502577022607478,15
attention_vs_momentum_ic,2014-07-31,3,0.08214285714285713,0.10941532976648351,15
attention_vs_momentum_ic,2014-09-30,1,0.23571428571428568,-0.10766809486041673,15
attention_vs_momentum_ic,2014-09-30,2,0.002197802197802198,-0.1504642063140222,14
attention_vs_momentum_ic,2014-09-30,3,0.3274725274725274,-0.05150777055292351,14
attention_vs_momentum_ic,2014-10-31,1,-0.1607142857142857,-0.017435060279695554,15
attention_vs_momentum_ic,2014-10-31,2,0.14285714285714282,-0.07529689434998785,15
attention_vs_momentum_ic,2014-10-31,3,0.30357142857142855,0.048919303100060305,15
attention_vs_momentum_ic,2015-03-31,1,-0.32598039215686275,-0.04082784281956989,17
attention_vs_momentum_ic,2015-03-31,2,-0.1647058823529412,-0.16074802583468534,16
attention_vs_momentum_ic,2015-03-31,3,0.4294117647058823,0.03001118326678827,16
attention_vs_momentum_ic,2015-04-30,1,-0.5705882352941177,-0.06321157054130944,16
attention_vs_momentum_ic,2015-04-30,2,0.2714285714285714,-0.15511039768693724,15
attention_vs_momentum_ic,2015-04-30,3,0.13823529411764704,-0.02094851955335235,16
attention_vs_momentum_ic,2015-06-30,1,-0.4093137254901961,-0.03151823179676204,17
attention_vs_momentum_ic,2015-06-30,2,0.0058823529411764705,-0.15862219713932774,16
attention_vs_momentum_ic,2015-06-30,3,0.4338235294117647,-0.03273281503716223,17
attention_vs_momentum_ic,2015-07-31,1,-0.18627450980392157,0.04405279207755896,17
attention_vs_momentum_ic,2015-07-31,2,0.049999999999999996,-0.011329412454042245,16
attention_vs_momentum_ic,2015-07-31,3,0.014705882352941175,0.012520770632757944,16
attention_vs_momentum_ic,2015-08-31,1,-0.21764705882352942,0.12656264238758264,16
attention_vs_momentum_ic,2015-08-31,2,-0.3607142857142856,0.05454938610531667,15
attention_vs_momentum_ic,2015-08-31,3,-0.16428571428571426,0.12145332381845923,15
attention_vs_momentum_ic,2015-09-30,1,-0.27941176470588236,0.13260414678359567,16
attention_vs_momentum_ic,2015-09-30,2,-0.1607142857142857,0.004399100480145727,15
attention_vs_momentum_ic,2015-09-30,3,-0.12058823529411765,0.07608773849963338,16
attention_vs_momentum_ic,2015-11-30,1,-0.45833333333333337,0.0840079090494913,17
attention_vs_momentum_ic,2015-11-30,2,-0.10294117647058824,-0.02867517863850788,16
attention_vs_momentum_ic,2015-11-30,3,-0.03186274509803922,-0.07261063488916057,17
attention_vs_momentum_ic,2016-02-29,1,-0.27450980392156865,0.21860799241854859,17
attention_vs_momentum_ic,2016-02-29,2,0.21176470588235297,0.13637359239025618,16
attention_vs_momentum_ic,2016-02-29,3,0.12009803921568628,0.025363511116156683,17
attention_vs_momentum_ic,2016-03-31,1,0.09068627450980393,0.1972381400682729,17
attention_vs_momentum_ic,2016-03-31,2,0.16764705882352943,0.08287010687524407,16
attention_vs_momentum_ic,2016-03-31,3,-0.007352941176470588,0.04200965855922413,17
