date,path,return,holdings,banned_share
2013-04-30,contract,0.03914555934292442,30,0.24554102259215219
2013-04-30,expand,0.05583696672384166,22,0.4084423305588585
2013-05-31,contract,-0.0801911403229654,27,0.24494649227110582
2013-05-31,expand,-0.07544163687513696,22,0.40784780023781214
2013-06-28,contract,0.03785136408932189,28,0.24478856462179868
2013-06-28,expand,0.0349669640829793,21,0.40738534842167956
2013-07-31,contract,0.037683887004012054,28,0.2433234421364985
2013-07-31,expand,0.020200611326014178,23,0.4053412462908012
2013-08-30,contract,0.04048972225157913,28,0.24465558194774348
2013-08-30,expand,0.020712051842646382,21,0.40736342042755347
2013-09-30,contract,-0.002553092798098246,26,0.24465558194774348
2013-09-30,expand,-0.008940666118684578,22,0.407957244655582
2013-10-31,contract,0.014339831830659849,29,0.24407582938388625
2013-10-31,expand,0.021737748752890296,23,0.40699052132701424
2013-11-29,contract,-0.004976607561494184,29,0.24511545293072823
2013-11-29,expand,0.0032671006753502985,22,0.4079336885731202
2013-12-30,contract,-0.016826907476524686,27,0.2458628841607565
2013-12-30,expand,-0.03425019164521416,19,0.4095744680851064
2014-01-29,contract,0.017033934897379897,29,0.2473435655253837
2014-01-29,expand,0.004171396514144846,24,0.41204250295159384
2014-02-28,contract,0.024382503200824832,28,0.24822695035460993
2014-02-28,expand,0.01690257228604456,23,0.41312056737588654
2014-03-31,contract,0.018720148001856257,28,0.24734982332155478
2014-03-31,expand,0.001351039064456605,22,0.4122497055359246
2014-04-30,contract,-0.010667814773466464,27,0.24749558043606365
2014-04-30,expand,-0.005729896503406978,17,0.41190335886859164
2014-05-30,contract,0.00737440976999559,29,0.24588235294117647
2014-05-30,expand,-0.00022883413342086273,23,0.41
2014-06-30,contract,0.03976697919636586,28,0.2454598711189221
2014-06-30,expand,0.028195119178919138,21,0.408904510837727
2014-07-31,contract,0.023169714272266752,28,0.24403028538147933
2014-07-31,expand,0.01253164114640477,22,0.40652300524170065
2014-08-29,contract,-0.012727698019791487,25,0.24349334875650666
2014-08-29,expand,-0.008815926513226748,19,0.40543666859456334
2014-09-30,contract,-0.026575862819893003,29,0.24494511842865396
2014-09-30,expand,-0.01734095837299652,20,0.4078567302137493
2014-10-31,contract,-0.013237452320333324,27,0.24466243508366994
2014-10-31,expand,-0.0069846504978911626,19,0.40738603577611077
2014-11-28,contract,-0.03146321133539874,28,0.24581650317368725
2014-11-28,expand,-0.03624161432889901,25,0.40911713791113674
2014-12-30,contract,-0.013513851258773805,27,0.24797687861271675
2014-12-30,expand,-0.01990082377299181,18,0.41271676300578036
2015-01-30,contract,0.04060465318266538,26,0.2520184544405998
2015-01-30,expand,0.03845290801953856,20,0.419838523644752
2015-02-27,contract,0.04892441296768959,28,0.25172811059907835
2015-02-27,expand,0.045292165390472726,22,0.41877880184331795
2015-03-31,contract,0.08489867602445773,27,0.25129384703852786
2015-03-31,expand,0.11573534518710364,17,0.4186313973548016
2015-04-30,contract,-0.004215443684782652,25,0.25071551230681166
2015-04-30,expand,-0.002314105130134342,20,0.41728677733257014
2015-05-29,contract,-0.04458925523346187,29,0.2511441647597254
2015-05-29,expand,-0.050529644268142236,20,0.4181922196796339
2015-06-30,contract,-0.01642354483363267,29,0.25157232704402516
2015-06-30,expand,0.0005459590661808868,21,0.41909662664379643
2015-07-31,contract,-0.05513205157197692,26,0.2526973310618966
2015-07-31,expand,-0.06009853492247922,19,0.42135150482680295
2015-08-31,contract,0.018671105817587734,25,0.24888641425389754
2015-08-31,expand,0.02929003403301104,17,0.4142538975501114
2015-09-30,contract,0.028063054960645626,30,0.25041736227045075
2015-09-30,expand,0.03225272473134353,23,0.41680578742348356
2015-10-30,contract,-0.028977200138471586,28,0.25083426028921024
2015-10-30,expand,-0.03162846113403207,23,0.41824249165739713
2015-11-30,contract,-0.004181954283939125,29,0.2519422863485017
2015-11-30,expand,-0.003692303462907826,21,0.4195338512763596
2015-12-30,contract,-0.018936837729506106,24,0.25193370165745854
2015-12-30,expand,-0.0026024354265577515,15,0.4198895027624309
